date,coin,value
2016-07-11,bitcoin,648.48
2016-07-11,ripple,0.006670999999999999
2016-07-11,ethereum,10.94
2016-07-12,ripple,0.006534000000000001
2016-07-12,ethereum,10.45
2016-07-12,bitcoin,648.28
2016-07-13,ethereum,10.51
2016-07-13,bitcoin,664.8
2016-07-13,ripple,0.00635
2016-07-14,bitcoin,652.92
2016-07-14,ripple,0.006408
2016-07-14,ethereum,10.6
2016-07-15,bitcoin,659.17
2016-07-15,ripple,0.006388
2016-07-15,ethereum,11.5
2016-07-16,bitcoin,663.78
2016-07-16,ripple,0.006442
2016-07-16,ethereum,11.92
2016-07-17,ethereum,11.62
2016-07-17,ripple,0.006571
2016-07-17,bitcoin,661.99
2016-07-18,ethereum,11.17
2016-07-18,ripple,0.006538
2016-07-18,bitcoin,679.81
2016-07-19,ethereum,11.05
2016-07-19,bitcoin,672.74
2016-07-19,ripple,0.006479
2016-07-20,ethereum,11.59
2016-07-20,bitcoin,672.81
2016-07-20,ripple,0.006404000000000001
2016-07-21,ethereum,12.46
2016-07-21,bitcoin,665.23
2016-07-21,ripple,0.00639
2016-07-22,bitcoin,664.92
2016-07-22,ethereum,12.66
2016-07-22,ripple,0.006417
2016-07-23,ethereum,14.67
2016-07-23,ripple,0.006303
2016-07-23,bitcoin,650.73
2016-07-24,ethereum,14.3
2016-07-24,bitcoin,655.41
2016-07-24,ripple,0.006328
2016-07-25,ethereum,12.74
2016-07-25,bitcoin,661.26
2016-07-25,ripple,0.006293
2016-07-26,bitcoin,654.23
2016-07-26,ethereum,13.82
2016-07-26,ripple,0.006246
2016-07-27,ripple,0.0059960000000000005
2016-07-27,ethereum,12.05
2016-07-27,bitcoin,651.63
2016-07-28,ethereum,12.98
2016-07-28,bitcoin,654.49
2016-07-28,ripple,0.005973
2016-07-29,ethereum,12.84
2016-07-29,bitcoin,655.11
2016-07-29,ripple,0.005974
2016-07-30,bitcoin,657.01
2016-07-30,ripple,0.006111999999999999
2016-07-30,ethereum,12.8
2016-07-31,ripple,0.006118
2016-07-31,bitcoin,655.1
2016-07-31,ethereum,12.44
2016-08-01,ethereum,11.89
2016-08-01,bitcoin,624.6
2016-08-01,ripple,0.005942
2016-08-02,ethereum,10.95
2016-08-02,bitcoin,606.4
2016-08-02,ripple,0.005911
2016-08-03,ethereum,8.88
2016-08-03,ripple,0.005688
2016-08-03,bitcoin,548.66
2016-08-04,ripple,0.005646
2016-08-04,bitcoin,566.33
2016-08-04,ethereum,10.31
2016-08-05,ripple,0.005821
2016-08-05,bitcoin,578.28
2016-08-05,ethereum,11.02
2016-08-06,ethereum,10.92
2016-08-06,ripple,0.006448000000000001
2016-08-06,bitcoin,575.03
2016-08-07,ripple,0.006337
2016-08-07,bitcoin,587.77
2016-08-07,ethereum,10.86
2016-08-08,bitcoin,592.74
2016-08-08,ripple,0.0061600000000000005
2016-08-08,ethereum,10.91
2016-08-09,ethereum,11.27
2016-08-09,ripple,0.006027
2016-08-09,bitcoin,591.04
2016-08-10,ethereum,12.23
2016-08-10,ripple,0.006147
2016-08-10,bitcoin,587.65
2016-08-11,bitcoin,592.12
2016-08-11,ethereum,12.14
2016-08-11,ripple,0.006196
2016-08-12,ethereum,11.69
2016-08-12,bitcoin,588.8
2016-08-12,ripple,0.006188
2016-08-13,ethereum,11.77
2016-08-13,bitcoin,587.36
2016-08-13,ripple,0.006119
2016-08-14,ethereum,11.58
2016-08-14,bitcoin,585.59
2016-08-14,ripple,0.006092
2016-08-15,ethereum,11.2
2016-08-15,ripple,0.005993
2016-08-15,bitcoin,570.49
2016-08-16,ripple,0.006045
2016-08-16,ethereum,11.23
2016-08-16,bitcoin,567.24
2016-08-17,bitcoin,577.76
2016-08-17,ripple,0.006144
2016-08-17,ethereum,11.13
2016-08-18,ethereum,10.75
2016-08-18,bitcoin,573.71
2016-08-18,ripple,0.0061
2016-08-19,ethereum,10.75
2016-08-19,bitcoin,574.34
2016-08-19,ripple,0.00612
2016-08-20,ethereum,10.75
2016-08-20,bitcoin,576.08
2016-08-20,ripple,0.006126
2016-08-21,ethereum,11.25
2016-08-21,ripple,0.006116
2016-08-21,bitcoin,581.94
2016-08-22,ripple,0.006055
2016-08-22,ethereum,11.19
2016-08-22,bitcoin,581.31
2016-08-23,ethereum,11.14
2016-08-23,bitcoin,586.77
2016-08-23,ripple,0.006002
2016-08-24,bitcoin,583.41
2016-08-24,ethereum,11.02
2016-08-24,ripple,0.006015
2016-08-25,ethereum,11.03
2016-08-25,ripple,0.0060490000000000006
2016-08-25,bitcoin,580.18
2016-08-26,ethereum,11.35
